+--------+--------------------+-----------------+-------+------------------+
| Graph6 | Number of vertexes | Number of edges | Girth | Chromatic number |
| GCRU^k |         8          |        30       |   3   |        4         |
| GCRU\{ |         8          |        30       |   3   |        4         |
| GCRU^{ |         8          |        32       |   3   |        4         |
| GCRS~o |         8          |        28       |   3   |        4         |
| GCRS~g |         8          |        28       |   3   |        4         |
| GCRS|w |         8          |        28       |   3   |        4         |
| GCRS~w |         8          |        30       |   3   |        4         |
| GCRS~k |         8          |        30       |   3   |        5         |
| GCRS~[ |         8          |        30       |   3   |        4         |
| GCRS~{ |         8          |        32       |   3   |        5         |
| GCRVvo |         8          |        30       |   3   |        3         |
| GCRVvg |         8          |        30       |   3   |        4         |
| GCRVtw |         8          |        30       |   3   |        4         |
| GCRVvw |         8          |        32       |   3   |        4         |
| GCRVvs |         8          |        32       |   3   |        4         |
| GCRVvk |         8          |        32       |   3   |        4         |
| GCRVt{ |         8          |        32       |   3   |        4         |
| GCRVv{ |         8          |        34       |   3   |        4         |
| GCRVnw |         8          |        32       |   3   |        4         |
| GCRVnk |         8          |        32       |   3   |        5         |
| GCRVn{ |         8          |        34       |   3   |        5         |
| GCRV^o |         8          |        30       |   3   |        4         |
| GCRV^w |         8          |        32       |   3   |        4         |
| GCRV^s |         8          |        32       |   3   |        4         |
| GCRV^k |         8          |        32       |   3   |        4         |
| GCRV^[ |         8          |        32       |   3   |        4         |
| GCRV]{ |         8          |        32       |   3   |        4         |
| GCRV\{ |         8          |        32       |   3   |        4         |
| GCRVZ{ |         8          |        32       |   3   |        4         |
